job_name,company_name,job_descreption,skills,job_bosted
Java Senior Developer/Technical Lead,Sevens Enterprises Pvt LTD,Job Description:  Company Profile Skill Set Needed: Java Senior Developer/Technical Lead Job Description: - We are looking for a senior developer/tech lead well-versed in Java technologies to j. ,"css , dbms , spring , java , data structures , mysql , html , oracle , maven , javascript , nosql , spring security , cassandra , algorithms , jsp , jdbc , docker , security , git , spring mvc , postgresql , couchbase , oops , java ee , debugging , jpa , gradle , ibm db2 , servlets , splunk",Posted today
Java Senior Developer/Technical Lead,Sevens Enterprises Pvt LTD,Job Description:  Company Profile Skill Set Needed: Java Senior Developer/Technical Lead Job Description: - We are looking for a senior developer/tech lead well-versed in Java technologies to j. ,"css , dbms , spring , java , data structures , mysql , html , oracle , maven , javascript , nosql , spring security , cassandra , algorithms , jsp , jdbc , docker , security , git , spring mvc , postgresql , couchbase , oops , java ee , debugging , jpa , gradle , ibm db2 , servlets , splunk",Posted today
Java Developer,Sevens Enterprises Pvt LTD,Job Description:  Company Profile Job Description: - We are looking for a developer skilled in Java technologies to join our development team. In this role you will be responsible for developin. ,"css , spring , java , software engineering , mysql , html , oracle , maven , javascript , java developer , nosql , spring security , cassandra , jsp , jdbc , hibernate , docker , security , git , spring mvc , postgresql , couchbase , java ee , debugging , jpa , rest , rdbms , gradle , ibm db2 , servlets , splunk",Posted today
iOS Developer,parity cube private limited,"Job Description:  iOS Developer Location: Mumbai, IndiaWhat we are looking for ? 2  Years of Native application development experience on Smartphones with expertise in iOS SDKs and Objective C.. ","c   , os , ios developer , mobile , ios , mobile application development , iphone sdk , cocoa , objective c , ios development",Posted today
Product Manager,parity cube private limited,"Job Description:  Product Manager Location: Mumbai, IndiaSkills Oversees portfolio of projects end to end including; prioritization, development, testing and deployment of the software developm. ","testing , qa , software development life cycle , metrics",Posted today
Senior Ruby on Rails Developer,parity cube private limited,"Job Description:  Senior Ruby on Rails Developer Location: Mumbai, IndiaWe are looking for a passionate, highly talented developer with 2 - 5 years of experience to design and develop features . ","css , html5 , ajax , jquery , sql , apache , git , postgresql , json , mvc , github , cache , linux operating system , svn , javascript , ruby , php",Posted today
TECH LEAD  Ruby on Rails,parity cube private limited,"Job Description:  TECH LEAD  Ruby on Rails Location: MumbaiWe are looking for a passionate, highly talented Technical Lead to head our Engineer Team. You will contribute to design and develop f. ","css , ajax , sql , java , git , postgresql , linux , mysql , perl , cache , github , javascript , ruby , php , unix",Posted today
Business Process Manager,Orange Business Services,Job Description:  about the roleIdentification of UAT stakeholders and resourcesCapture & planning of UAT preparation and test activitiesIdentification and approval of UAT scopeRegular repo. ,"testing , uat , test strategy , user acceptance testing",Posted today
Business Process Manager,Orange Business Services,Job Description:  about the roleIdentification of UAT stakeholders and resourcesCapture & planning of UAT preparation and test activitiesIdentification and approval of UAT scopeRegular repo. ,"testing , uat , test strategy , user acceptance testing",Posted today
Data Architect,nvish solutions,"Job Description:  You should have experience in noSQL, Big data technologies (Cassandra), Capacity planning and Physical data modeling in both RDBMS and noSQL, streaming data modeling. Data mod. ","rdbms , cassandra , big data , solution designer , nosql",Posted today
Integration Architect,nvish solutions,Job Description:  You should have experience and strong skills in Solution Architectures (particularly Integration Architectures) and associated modelling techniques along with knowledge about . ,"rest api , tandem , api , gateway",Posted today
Project Manager Web Analytics,nvish solutions,"Job Description:  Web Analytics- 5   years of experience in Web Analytics. Highly experienced in using web analytics tools such as Web trends, Omniture, Google Analytics, etc. to analyze and so. ","sas , business objects , cognos ,  Web Analytics",Posted today
Linux Administrators,nvish solutions,"Job Description:  B.Tech./ B.E. /BCA/MCA with 2-4 years of experience. Should possess strong technical knowledge & proficiency in AWS Cloud infrastructure and applications, Linux Server adm. ","git , infrastructure , devops , linux , network administration , linux server administration",Posted today
iOS Developers,nvish solutions,"Job Description:  B.Tech./ B.E. with 3-5 years of experience. Should have hands-on experience with Swift, Storyboard and Auto-layout, native video player, background thread and multi-threading,. ","ios , swift ,  native video player",Posted today
